TypeName, MaxTakeoffMassKG, MaxLandingMassKG, WingSpanM, LandingSpeedKT, WingAreaM, WingAspectRatio, WingTaper, mx_wx, Jxx, VortexPointXOffsetM
A306,170654.000000,140127.000000,44.870000,67.000000,260.340000,7.730000,0.300000,-0.514800,5385280.000000,0.000000
A318,68061.000000,57551.000000,34.130000,58.000000,122.560000,9.500000,0.250000,-0.491900,1279901.000000,0.000000
A319,75567.000000,62556.000000,34.130000,58.000000,122.560000,9.500000,0.250000,-0.492000,1391206.000000,0.000000
A320,77082.000000,64569.000000,33.950000,68.000000,122.560000,9.400000,0.250000,-0.492000,1420616.000000,0.000000
A321,93569.000000,77869.000000,33.950000,69.000000,122.560000,9.400000,0.250000,-0.492000,1713224.000000,0.000000
A332,230246.000000,180193.000000,60.360000,67.000000,362.070000,10.060000,0.220000,-0.477400,12533989.000000,0.000000
A333,230246.000000,185198.000000,60.360000,69.000000,362.070000,9.990000,0.220000,-0.477500,12791185.000000,0.000000
A343,257275.000000,186199.000000,60.360000,69.000000,362.070000,10.060000,0.220000,-0.477400,17628824.000000,0.000000
A346,365391.000000,256274.000000,63.470000,75.000000,437.570000,9.210000,0.200000,-0.467700,26828902.000000,0.000000
A380,560508.000000,386345.000000,79.820000,70.000000,846.110000,7.530000,0.220000,-0.477100,63964204.000000,0.000000
AAI_RQ7,170.000000,170.000000,4.300000,20.000000,3.650000,5.060000,1.000000,-0.620000,35.310000,0.000000
AT43,16165.000000,16013.000000,24.640000,55.000000,54.570000,11.130000,0.550000,-0.651700,185672.000000,0.000000
AT45,18616.000000,18316.000000,24.640000,55.000000,54.570000,11.130000,0.550000,-0.651800,212383.000000,0.000000
AT72,22019.000000,21369.000000,27.110000,54.000000,61.080000,12.040000,0.620000,-0.659100,299948.000000,0.000000
Aerosond_UAV,13.500000,13.500000,2.895600,15.000000,0.550000,15.240000,1.000000,-0.505100,0.824400,0.000000
B190,7772.000000,7611.000000,17.660000,60.000000,28.840000,10.810000,0.360000,-0.631500,45319.000000,0.000000
B462,42222.000000,36774.000000,26.350000,62.000000,77.400000,8.970000,0.420000,-0.565500,663625.000000,0.000000
B463,43130.000000,37682.000000,26.350000,64.000000,77.400000,8.970000,0.420000,-0.565600,680011.000000,0.000000
B717,54934.000000,49940.000000,28.520000,68.000000,93.090000,8.740000,0.210000,-0.472900,775412.000000,0.000000
B722,83899.000000,70143.000000,32.940000,68.000000,158.140000,6.860000,0.320000,-0.523700,1453091.000000,0.000000
B733,61290.000000,51756.000000,28.910000,67.000000,105.580000,7.920000,0.260000,-0.496700,826110.000000,0.000000
B734,62879.000000,54934.000000,28.910000,68.000000,105.580000,7.920000,0.260000,-0.496700,876837.000000,0.000000
B735,56523.000000,49940.000000,28.910000,64.000000,105.580000,7.900000,0.260000,-0.496700,797151.000000,0.000000
B736,66057.000000,54707.000000,34.340000,64.000000,125.170000,9.420000,0.220000,-0.477700,1231914.000000,0.000000
B737,70143.000000,58657.000000,34.340000,66.000000,125.170000,9.420000,0.220000,-0.477700,1320857.000000,0.000000
B738,79087.000000,66420.000000,34.340000,73.000000,125.170000,9.420000,0.220000,-0.477700,1495676.000000,0.000000
B739,79087.000000,66874.000000,34.340000,73.000000,125.170000,9.420000,0.220000,-0.477800,1505900.000000,0.000000
B744,385900.000000,281480.000000,64.970000,73.000000,541.870000,7.790000,0.280000,-0.505600,30871738.000000,0.000000
B752,113500.000000,89892.000000,38.060000,70.000000,185.490000,7.810000,0.230000,-0.482500,2486629.000000,3.000000
B753,122580.000000,101696.000000,38.060000,74.000000,185.490000,7.810000,0.220000,-0.477700,2813155.000000,0.000000
